observation_id,task_id,task_version,category,workload,tags,font_id,font_family,font_size_px,margin_px,line_gap_px,width,height,patch_columns,patch_rows,patches,estimated_image_tokens,image_sha256,font_sha256,model,attempts,thread_id,latency_ms,returncode,infrastructure_failure,passed,score,response,expected_json,usage_json,instruction_sha256,payload_sha256,completed_at
structured_001:atkinson-hyperlegible:8px:525a754b838a,structured_001,1,structured_output,noncoding,json;no_explanation;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,160,25,5,1,5,6.0,525a754b838a4f08863b995050f31b720657a0d9402f4d273bec3f83e29f2473,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-84cb-7640-893a-5c829fae35e2,4686,0,,True,1.0,"{""city"":""Ottawa"",""country"":""Canada""}","{""city"": ""Ottawa"", ""country"": ""Canada""}","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12914, ""output_tokens"": 58, ""reasoning_output_tokens"": 42}",3f89323fe5caf1f84f5658d9c9ed2aafe19fdd73a03c516563f6c273a03424a3,622109dc4322032aebf9eeb743817dae6e0df9d0a35c664713543709d5fd1eae,2026-09-05T01:48:18.796616+00:00
structured_002:atkinson-hyperlegible:8px:37233858657d,structured_002,1,structured_output,noncoding,json;type_constraint;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,154,25,5,1,5,6.0,37233858657d99fd15cb4bba17945d111451c5906e03ccabc742b5d25eba6449,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-9738-72d2-a440-c4cf2bdfe3d1,4857,0,,True,1.0,"{""name"":""Delta"",""active"":true}","{""active"": true, ""name"": ""Delta""}","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12906, ""output_tokens"": 69, ""reasoning_output_tokens"": 54}",d632b9feac55818cae577d52dfc40eb64c40a33e8c2c9834d284ad9efa92b9b1,9441c9d71187d3b8266bac211aa6ad41bd37b3afb11ba398bfcd4aa95632a468,2026-09-05T01:48:23.655004+00:00
uncertainty_001:atkinson-hyperlegible:8px:3b362a8bf692,uncertainty_001,1,uncertainty,noncoding,null;do_not_infer;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,94,57,3,2,6,7.199999999999999,3b362a8bf6927519fd0053b97ef265e043ef05db66ddd0a9ee51677ddb1734c8,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-9b57-75c3-9a42-8ca2eb0ae09e,9787,0,,True,1.0,null,"""null""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 20992, ""input_tokens"": 26087, ""output_tokens"": 236, ""reasoning_output_tokens"": 136}",2f8ae13df2cdca8237ea1a08cdf38f20dd7a5a77d3eb4a61d0b765390cad3794,f59a2dfb7828e60872d951e51c4010d4a7c16c433479acb987791fc765ba7da3,2026-09-05T01:48:29.624696+00:00
uncertainty_002:atkinson-hyperlegible:8px:09b8e1e9053a,uncertainty_002,1,uncertainty,noncoding,null;no_calculation;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,153,25,5,1,5,6.0,09b8e1e9053a52da41e27bfb89a331afe3f41686a714a1657988351f7af6d220,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-a165-7600-9192-0791d5ad98c8,5096,0,,True,1.0,null,"""null""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12918, ""output_tokens"": 67, ""reasoning_output_tokens"": 60}",34dd0d11975122927183588f0be1799c9b2535a175cf9fded778de97d7b723c2,5eadb83b51e81348d2c9b6d45886c0e5beab41a197b82d9a9ac4e2c7bdeff7f5,2026-09-05T01:48:26.350239+00:00
numeric_date_001:atkinson-hyperlegible:8px:a6f4bdb26545,numeric_date_001,1,numeric_date,noncoding,date;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,93,17,3,1,3,3.5999999999999996,a6f4bdb26545a73ca84ac9a28114c549041cf38afe2dd3f13f9cd1f26ec7adc2,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-a1a3-7c01-976d-12374816689d,4216,0,,True,1.0,2026-01-14,"""2026-01-14""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12918, ""output_tokens"": 47, ""reasoning_output_tokens"": 35}",7f8add86c16fb6c2d7b5cfc212e957c22233fcbf4eed05c70e006717d71592fc,b277add660b77da981dd926cf53b60cec8e10b192814ecc5cadb843055cc24e5,2026-09-05T01:48:25.563199+00:00
numeric_date_002:atkinson-hyperlegible:8px:bc105d11dfa0,numeric_date_002,1,numeric_date,noncoding,strict_threshold;decimal;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,127,25,4,1,4,4.8,bc105d11dfa02ddc7aaf85e19a618147860da5a615aef3cffa010a5bf0314b99,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-aa26-7131-8993-1c4fad76d648,13562,0,,False,0.0,No such value,"""20.5""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 20992, ""input_tokens"": 26054, ""output_tokens"": 469, ""reasoning_output_tokens"": 395}",936415283d841811b8f22f4f533febcd51f64076f8c82d0d6aacae046b205e6a,d2243ac9dd3c72f0767abcd6ac6d44ac9b55dc31404f823cd5e0b55445c09dd7,2026-09-05T01:48:37.218258+00:00
formatting_001:atkinson-hyperlegible:8px:0c58fed9df72,formatting_001,1,formatting,noncoding,bounded_output;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,128,25,4,1,4,4.8,0c58fed9df722e8db5ac73a4fc73205dd6dda021dc9b646f0d4f89043ee8240d,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-b199-7c02-9313-34ca8b2d6700,4470,0,,True,1.0,"otter,fox,lynx","[""otter"", ""fox"", ""lynx""]","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12915, ""output_tokens"": 62, ""reasoning_output_tokens"": 49}",eccbf18b111f82b6ec1e55b2ae9883252797ebfbc09bfc48f2bfca79039c33aa,b8e8cc5d7a4b5138ab91064502371fe92ee480f6505e345800157f702d37f1b8,2026-09-05T01:48:30.033626+00:00
reference_001:atkinson-hyperlegible:8px:4ddeef4272b1,reference_001,1,reference_resolution,noncoding,reference;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,128,25,4,1,4,4.8,4ddeef4272b1000938fd8b1d88af9fda6aa7dc54ea0e7358d2cc371d63b6253d,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-b584-7f63-b761-0436773fec5f,4691,0,,True,1.0,5.50,"""5.50""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12925, ""output_tokens"": 73, ""reasoning_output_tokens"": 64}",ae4ac98c5b20b804e03ce6e324f7af68d0849555e9c4b1074d0011beb71ca01e,533a0f8192cf59a70bcbc9cc1ba905b4f00aacf7eb8be13ac4807786b4257257,2026-09-05T01:48:31.043072+00:00
reference_002:atkinson-hyperlegible:8px:f52a0a4ae755,reference_002,1,reference_resolution,noncoding,relative_position;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,120,25,4,1,4,4.8,f52a0a4ae755c272e39f8c78880833ed2bae13eeb286e195010a954a3f9fab10,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-c199-7bc0-b48d-58a9ea150a7f,5509,0,,True,1.0,Bea,"""Bea""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12921, ""output_tokens"": 56, ""reasoning_output_tokens"": 48}",5ed7a2a13759eb9129547d92cb028dd3cd2150ef6c2a1dfa93d735ce6ae50f9b,8305e113276491cf35300814f1e031cf63868563c738b350ff0861140de4df3f,2026-09-05T01:48:35.136844+00:00
ocr_control_001:atkinson-hyperlegible:8px:db4a3b65ca06,ocr_control_001,1,ocr_control,noncoding,confusable_characters;control;non_coding,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,127,25,4,1,4,4.8,db4a3b65ca06f0fe9f6f62b1734ae14579078d14ed0d017e079208ea20ec466d,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-c398-7502-91dd-52adbcfba8b1,5405,0,,True,1.0,0O1lI5S8B-7aF2,"""0O1lI5S8B-7aF2""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12918, ""output_tokens"": 85, ""reasoning_output_tokens"": 65}",b63cdb53f20bed5d81f85c4c2dbd201a0bf9a812213f65d963e886034e49f168,e7b81febcee25fa4ba0c0fc264f3812d410d57df9b95ca96bb7f64aa28e4b69e,2026-09-05T01:48:35.439097+00:00
coding_001:atkinson-hyperlegible:8px:30fef30cfa23,coding_001,1,coding,coding,python;code_completion,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,224,25,7,1,7,8.4,30fef30cfa232050dd6ff6dc59253a1f7344de5524cb50ba741e0b81baa5e34d,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-c739-7431-8a36-ba62d2a92872,4474,0,,False,0.0,"```python
def square(x):
    return x * x
```","""x * x""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12912, ""output_tokens"": 56, ""reasoning_output_tokens"": 36}",8ba513335e1fc6910a417526de3a728fb29afdf42d83d23e96bcbd1fbc874675,8ab916d91724cababdd49695e1fed1ed51b6f48db052d2063f450b346cf43a54,2026-09-05T01:48:35.518303+00:00
coding_002:atkinson-hyperlegible:8px:9d789238c211,coding_002,1,coding,coding,javascript;code_completion,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,96,57,3,2,6,7.199999999999999,9d789238c21114051a2cd5392d30d9e9001cf99d621ce7b6371e46ece87ce93c,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-d757-7ad2-a2ac-3429b81109cb,5332,0,,True,1.0,items.length,"""items.length""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12923, ""output_tokens"": 57, ""reasoning_output_tokens"": 49}",387c5d71debf815171e6621b0b959925a6298267d60b76b66e95193e6c0bf56f,003fc1ebfb6d6ad72f31f096ff42750e9dc75f11aa55ae4e8c38a94eca46c10c,2026-09-05T01:48:40.469756+00:00
coding_003:atkinson-hyperlegible:8px:066eec4a4ac0,coding_003,1,coding,coding,python;code_interpretation,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,159,25,5,1,5,6.0,066eec4a4ac02bb38ed9f1075d1fd33e87d06fc068e4fcee9af5936932f0a986,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-da4e-7a41-a448-097687a6d6c7,6224,0,,True,1.0,8,"""8""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12926, ""output_tokens"": 60, ""reasoning_output_tokens"": 53}",821887d5d1ad27a9393040cf26933aec877dae507ff5e0b11d4607d35a84eaf0,94c24378b19f9a90681c3dfdfca5983c65b517ffa255a6d674f6dc436d81f947,2026-09-05T01:48:41.664874+00:00
coding_004:atkinson-hyperlegible:8px:b17795923609,coding_004,1,coding,coding,javascript;code_interpretation,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,159,25,5,1,5,6.0,b177959236098a3df3831f8324be250e6f425432069adaa3aa6aa460df8c9250,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-da8e-7551-ac10-b300d8ecd0af,7980,0,,True,1.0,12,"""12""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12947, ""output_tokens"": 153, ""reasoning_output_tokens"": 146}",2d6396c1fbf53112437809515b32197ee20df2a34252813864196279b2ea7676,2b16901b9604e982616572bec73d01b6555b3ddcd4782c7b4d4a4ae2d5bdbe76,2026-09-05T01:48:43.500091+00:00
coding_005:atkinson-hyperlegible:8px:a6c9f5243bf5,coding_005,1,coding,coding,sql;code_completion,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,120,49,4,2,8,9.6,a6c9f5243bf581c9d9e659e8d6cdfa702ea82fb85c2e40445417cf68a405081a,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-dfda-7ca2-989c-14a198761afb,5819,0,,True,1.0,active = 1 AND age >= 18,"""active = 1 AND age >= 18""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12925, ""output_tokens"": 73, ""reasoning_output_tokens"": 58}",94d12f336374db069041b2d3c684eadf79d56a388baf578317d79a62d305e18e,55327d830f4dd2c379c3e6892ef2370014e2244a1c57481389e505709338879b,2026-09-05T01:48:43.038573+00:00
coding_006:atkinson-hyperlegible:8px:fbee8a8aa42c,coding_006,1,coding,coding,shell;command_generation,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,92,57,3,2,6,7.199999999999999,fbee8a8aa42c6728a18c153c2380133cfae5a40a2dd693e9fa7130975669a7e1,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-ebb5-7a12-8f05-ca4129b422ed,8091,0,,True,1.0,pwd,"""pwd""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12911, ""output_tokens"": 50, ""reasoning_output_tokens"": 43}",36ccd383581954ea6465423c3620b069e51877980103e50d3d72ded0b12c3c79,b84b53edf091722af237a7453fe4dc5d9b0cdf46df7dde98500e403315f50273,2026-09-05T01:48:48.562192+00:00
coding_007:atkinson-hyperlegible:8px:217eaf7bfd51,coding_007,1,coding,coding,python;boolean_logic;code_completion,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,159,25,5,1,5,6.0,217eaf7bfd51559849c51b65e5a24d74a775924f9c32c19044b3ee0c72099c0c,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-f0b7-7f51-8c14-25329ea1c95e,5432,0,,True,1.0,x > 0 and x % 2 == 0,"""x > 0 and x % 2 == 0""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12915, ""output_tokens"": 93, ""reasoning_output_tokens"": 75}",3c6cd8d1e8f26744de97b9b4fc366e529160af89d4f91955b5d363c44ca60c27,9a294ed940d254ccd4ef9625732d870f7510637210ee27e48eaf9c61388b7712,2026-09-05T01:48:47.097485+00:00
coding_008:atkinson-hyperlegible:8px:3ec7e4e66ef7,coding_008,1,coding,coding,python;code_interpretation;comprehension,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,96,25,3,1,3,3.5999999999999996,3ec7e4e66ef73e37b84cef76c2998becf806b4b6406dbaf2d08ee91249d45b3e,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-f604-77b0-88f8-90b9c696587d,4596,0,,True,1.0,3,"""3""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12917, ""output_tokens"": 57, ""reasoning_output_tokens"": 50}",01d79e41bd6a2775fb32a4c0e4c1b73343d7ff90c9e6bb44154da7f4345cd7eb,358c2e3b46bfca5af2bca92afa8cf11c1b2d97f4f17cab295f4687651d5efa32,2026-09-05T01:48:47.636067+00:00
coding_009:atkinson-hyperlegible:8px:96a7b0d3cc53,coding_009,1,coding,coding,javascript;array_methods;code_completion,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,94,49,3,2,6,7.199999999999999,96a7b0d3cc53839653707b24f2620a5351046dbac02736c298716c30848a91dd,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f40-f884-7b11-9ea2-ffc6bd711d48,5409,0,,False,0.0,names.map(name => name.toUpperCase()),"""names.map(x => x.toUpperCase())""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12921, ""output_tokens"": 108, ""reasoning_output_tokens"": 93}",427441549ec67521c24299e4d881c29cc06420bb6070c4bf00de0f62ae9eb293,f8ec15dcd126bbfed349f790a8b46ba6d93746d9835096b93fb618d809f55fc4,2026-09-05T01:48:48.909742+00:00
coding_010:atkinson-hyperlegible:8px:9b82aab44a46,coding_010,1,coding,coding,javascript;code_interpretation;string,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,96,25,3,1,3,3.5999999999999996,9b82aab44a4624d40fb64469f83d7fb155b869323dbbf192e89d190e780900e5,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f41-05d5-78b2-a1de-0814dba0835e,5513,0,,True,1.0,b-c,"""b-c""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12918, ""output_tokens"": 71, ""reasoning_output_tokens"": 63}",f2ac983f9582410126f582b4606eb2a095f39ef42b130c7873364ceac06d0a95,3404d235442a62faf208278d03ef48df77d28d1e71ab371f4109043aeb376de0,2026-09-05T01:48:52.611258+00:00
coding_011:atkinson-hyperlegible:8px:6663b7e07449,coding_011,1,coding,coding,sql;aggregate;code_completion,atkinson-hyperlegible,Atkinson Hyperlegible,8,1,1,124,25,4,1,4,4.8,6663b7e074497a3cb6a10ce9a704f493225550a23bf9b4498e50d3a38b27d56e,7fb917c89019896d0b52ee84b7cbb3304c18cb90b19a62f5e32712bd23e97669,gpt-5.6-luna,1,01a06f41-0862-76a3-b70b-95e2ea342014,5356,0,,True,1.0,COUNT(*),"""COUNT(*)""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12908, ""output_tokens"": 96, ""reasoning_output_tokens"": 88}",ee44d6ec7c295dd8a5ff81c85894f90452ae1cda3e6fba795b4fecdb2999a30f,dc7bdbb94deef5c68042280ec996b155bca7b5c87fc6244caed0e8245f8967ee,2026-09-05T01:48:52.993403+00:00
